commodity_code,delivery_commodity_count,Diff_from_average_amt,delivery_commodity_count_avg,Diff_from_average_category,open_price,close_price,max_price,min_price,prior_day_open_price,prior_2_day_open_price,prior_3_day_open_price,recent_avg_price,recent_avg_price_diff,recent_avg_trend,prior_day_open_diff,prior_day_trend,prior_2_day_open_diff,prior_2_day_trend,prior_3_day_open_diff,prior_3_day_trend,yesterday_avg_diff,yesterday_avg_trend
09,1,0.0,1.0,Average,3.8325,3.8575,3.8675,3.765,3.8375,3.84,3.85,3.8425,-0.01,Nominal Change,-0.005,Nominal Change,-0.0075,Nominal Change,-0.0175,Nominal Change,-0.0075,Nominal Change
09,1,0.0,1.0,Average,6.39,6.425,6.495,6.3325,6.31,6.08,6.05,6.1467,0.2433,Significantly Better (>.10),0.08,Better (>.05),0.31,Significantly Better (>.10),0.34,Significantly Better (>.10),0.245,Significantly Better (>.10)
09,1,0.0,1.0,Average,6.55,6.5525,6.615,6.505,6.5567,6.5633,6.57,6.5633,-0.0133,Nominal Change,-0.0067,Nominal Change,-0.0133,Nominal Change,-0.02,Nominal Change,-0.01,Nominal Change
09,2,0.0,2.0,Average,3.695,3.695,3.7275,3.675,3.68,3.6375,3.64,3.6525,0.0425,Slightly Better (>.02),0.015,Nominal Change,0.0575,Better (>.05),0.055,Better (>.05),0.0413,Slightly Better (>.02)
09,12,0.0,12.0,Average,3.5975,3.555,3.615,3.55,3.62,3.67,3.665,3.6517,-0.0542,Worse (<-.05),-0.0225,Slightly Worse (<-.02),-0.0725,Worse (<-.05),-0.0675,Worse (<-.05),-0.0475,Slightly Worse (<-.02)
09,2,-26.5,28.5,Below_Average,6.935,7.05,7.0575,6.9175,6.9,6.9067,6.9133,6.9067,0.0283,Slightly Better (>.02),0.035,Slightly Better (>.02),0.0283,Slightly Better (>.02),0.0217,Slightly Better (>.02),-0.01,Nominal Change
09,55,26.5,28.5,Above_Average,3.555,3.545,3.5625,3.525,3.5975,3.62,3.67,3.6292,-0.0742,Worse (<-.05),-0.0425,Slightly Worse (<-.02),-0.065,Worse (<-.05),-0.115,Worse (<-.05),-0.0475,Slightly Worse (<-.02)
09,10,-3.33,13.333333333333334,Average,6.435,6.445,6.4575,6.33,6.4133,6.3917,6.37,6.3917,0.0433,Slightly Better (>.02),0.0217,Slightly Better (>.02),0.0433,Slightly Better (>.02),0.065,Slightly Better (>.02),0.0325,Slightly Better (>.02)
09,12,-1.33,13.333333333333334,Average,7.05,7.095,7.1125,7.025,6.935,6.9,6.9067,6.9139,0.1361,Significantly Better (>.10),0.115,Significantly Better (>.10),0.15,Significantly Better (>.10),0.1433,Significantly Better (>.10),0.0317,Slightly Better (>.02)
09,18,4.67,13.333333333333334,Average,3.6425,3.6025,3.655,3.595,3.6475,3.6525,3.6575,3.6525,-0.01,Nominal Change,-0.005,Nominal Change,-0.01,Nominal Change,-0.015,Nominal Change,-0.0075,Nominal Change
09,9,-7.67,16.666666666666668,Average,6.4675,6.535,6.54,6.42,6.435,6.4133,6.3917,6.4133,0.0542,Better (>.05),0.0325,Slightly Better (>.02),0.0542,Better (>.05),0.0758,Better (>.05),0.0325,Slightly Better (>.02)
09,9,-7.67,16.666666666666668,Average,7.095,7.195,7.22,7.095,7.05,6.935,6.9,6.9617,0.1333,Significantly Better (>.10),0.045,Slightly Better (>.02),0.16,Significantly Better (>.10),0.195,Significantly Better (>.10),0.1325,Significantly Better (>.10)
09,32,15.33,16.666666666666668,Above_Average,3.615,3.6675,3.7875,3.6125,3.6425,3.6475,3.6525,3.6475,-0.0325,Slightly Worse (<-.02),-0.0275,Slightly Worse (<-.02),-0.0325,Slightly Worse (<-.02),-0.0375,Slightly Worse (<-.02),-0.0075,Nominal Change
09,2,-31.0,33.0,Below_Average,6.565,6.565,6.59,6.5125,6.4675,6.435,6.4133,6.4386,0.1264,Significantly Better (>.10),0.0975,Better (>.05),0.13,Significantly Better (>.10),0.1517,Significantly Better (>.10),0.0433,Slightly Better (>.02)
09,64,31.0,33.0,Above_Average,3.55,3.535,3.57,3.53,3.5517,3.5533,3.555,3.5533,-0.0033,Nominal Change,-0.0017,Nominal Change,-0.0033,Nominal Change,-0.005,Nominal Change,-0.0025,Nominal Change
09,15,-13.8,28.8,Below_Average,6.5325,6.5375,6.575,6.495,6.565,6.4675,6.435,6.4892,0.0433,Slightly Better (>.02),-0.0325,Slightly Worse (<-.02),0.065,Better (>.05),0.0975,Better (>.05),0.1138,Significantly Better (>.10)
09,15,-13.8,28.8,Below_Average,7.195,7.2425,7.265,7.16,7.095,7.05,6.935,7.0267,0.1683,Significantly Better (>.10),0.1,Significantly Better (>.10),0.145,Significantly Better (>.10),0.26,Significantly Better (>.10),0.1025,Significantly Better (>.10)
09,69,40.2,28.8,Above_Average,3.535,3.5375,3.55,3.53,3.55,3.5517,3.5533,3.5517,-0.0167,Nominal Change,-0.015,Nominal Change,-0.0167,Nominal Change,-0.0183,Nominal Change,-0.0025,Nominal Change
09,38,9.2,28.8,Average,3.6625,3.7575,3.76,3.6575,3.615,3.6425,3.6475,3.635,0.0275,Slightly Better (>.02),0.0475,Slightly Better (>.02),0.02,Slightly Better (>.02),0.015,Slightly Better (>.02),-0.03,Slightly Worse (<-.02)
09,7,-21.8,28.8,Below_Average,5.605,5.475,5.625,5.47,5.585,5.565,5.545,5.565,0.04,Slightly Better (>.02),0.02,Slightly Better (>.02),0.04,Slightly Better (>.02),0.06,Slightly Better (>.02),0.03,Slightly Better (>.02)
09,15,-17.8,32.8,Below_Average,7.3075,7.14,7.325,6.9975,7.225,7.2,7.1692,7.1981,0.1094,Significantly Better (>.10),0.0825,Better (>.05),0.1075,Significantly Better (>.10),0.1383,Significantly Better (>.10),0.0404,Slightly Better (>.02)
09,12,-20.8,32.8,Below_Average,6.505,6.59,6.595,6.48,6.5325,6.565,6.4675,6.5217,-0.0167,Nominal Change,-0.0275,Slightly Worse (<-.02),-0.06,Worse (<-.05),0.0375,Worse (<-.05),0.0163,Nominal Change
09,62,29.2,32.8,Above_Average,3.5375,3.545,3.555,3.525,3.535,3.55,3.5517,3.5456,-0.0081,Nominal Change,0.0025,Nominal Change,-0.0125,Nominal Change,-0.0142,Nominal Change,-0.0158,Nominal Change
