PM_Diff_Amt,PM_Diff_Category_Val,Precip_12AM-6AM,Precip_6AM-10AM,Precip_6AM-12PM,WindSpeed_12AM-6AM_avg_val,WindSpeed_6AM-10AM_avg_val,WindSpeed_10AM-2PM_avg_val,open_price,prior_day_open_price,prior_day_open_diff,prior_day_trend,yesterday_avg_diff,yesterday_avg_trend
0.0,Same_Activity,No Precip,No Precip,No Precip,9.92,8.38,2.5,12.813,12.81,0.0025,Nominal Change,-0.055,Worse (<-.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,7.53,7.25,9.25,13.563,13.547,0.0156,Nominal Change,0.0234,Slightly Better (>.02)
-1.0,Same_Activity,No Precip,No Precip,No Precip,8.92,11.5,9.5,13.828,13.818,0.01,Nominal Change,0.1738,Significantly Better (>.10)
1.0,Same_Activity,No Precip,No Precip,No Precip,9.0,7.75,6.13,13.25,13.69,-0.44,Significantly Worse (<-.10),-0.2388,Significantly Worse (<-.10)
4.0,Same_Activity,No Precip,No Precip,No Precip,2.33,3.63,11.5,12.948,12.948,0.0,Nominal Change,-0.3158,Significantly Worse (<-.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,2.08,5.25,9.75,13.635,13.77,-0.135,Significantly Worse (<-.10),0.0038,Nominal Change
1.0,Same_Activity,No Precip,No Precip,No Precip,14.92,13.5,17.63,13.69,13.677,0.0133,Nominal Change,0.02,Nominal Change
2.0,Same_Activity,No Precip,No Precip,No Precip,1.5,5.25,7.5,13.3,13.69,-0.39,Significantly Worse (<-.10),0.02,Nominal Change
-1.0,Same_Activity,No Precip,No Precip,No Precip,8.33,7.13,3.88,13.245,13.25,-0.005,Nominal Change,-0.0075,Nominal Change
-1.0,Same_Activity,No Precip,No Precip,No Precip,11.0,10.5,15.38,13.473,13.245,0.2275,Significantly Better (>.10),-0.0075,Nominal Change
0.0,Same_Activity,No Precip,No Precip,No Precip,2.58,1.88,10.0,13.785,13.742,0.0431,Slightly Better (>.02),0.0647,Better (>.05)
0.0,Same_Activity,No Precip,No Precip,No Precip,1.25,7.38,14.13,13.813,13.895,-0.0825,Worse (<-.05),0.17,Significantly Better (>.10)
