PM_Diff_Amt,PM_Diff_Category_Val,Precip_12AM-6AM,Precip_6AM-10AM,Precip_6AM-12PM,WindSpeed_12AM-6AM_avg_val,WindSpeed_6AM-10AM_avg_val,WindSpeed_10AM-2PM_avg_val,open_price,prior_day_open_price,prior_day_open_diff,prior_day_trend,yesterday_avg_diff,yesterday_avg_trend
0.0,Same_Activity,No Precip,Light Precip,Light Precip,8.58,11.28,11.0,5.575,5.63,-0.055,Worse (<-.05),0.125,Significantly Better (>.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,9.92,8.38,2.5,5.5675,5.575,-0.0075,Nominal Change,0.02,Slightly Better (>.02)
1.0,Same_Activity,No Precip,No Precip,Light Precip,5.83,10.25,14.1,6.0,5.9817,0.0183,Nominal Change,0.0275,Slightly Better (>.02)
0.0,Same_Activity,Light Precip,Light Precip,Light Precip,8.78,8.95,10.18,6.02,6.0,0.02,Nominal Change,0.0275,Slightly Better (>.02)
1.0,Same_Activity,No Precip,No Precip,No Precip,10.67,7.05,5.43,6.55,6.5567,-0.0067,Nominal Change,-0.01,Nominal Change
1.0,Same_Activity,No Precip,No Precip,No Precip,10.67,9.5,1.25,7.3075,7.225,0.0825,Better (>.05),0.0404,Slightly Better (>.02)
-9.0,Less_Activity,No Precip,No Precip,No Precip,8.92,11.5,9.5,7.1825,7.3075,-0.125,Significantly Worse (<-.10),0.095,Better (>.05)
1.0,Same_Activity,Light Precip,Light Precip,Light Precip,7.4,9.95,10.63,7.04,7.05,-0.01,Nominal Change,-0.1933,Significantly Worse (<-.10)
1.0,Same_Activity,No Precip,No Precip,No Precip,9.0,7.75,6.13,6.795,7.04,-0.245,Significantly Worse (<-.10),-0.0988,Worse (<-.05)
-3.0,Same_Activity,No Precip,No Precip,No Precip,2.67,3.63,8.0,6.68,6.6608,0.0192,Nominal Change,0.0288,Slightly Better (>.02)
-6.0,Less_Activity,No Precip,No Precip,No Precip,6.58,6.63,11.5,6.36,6.68,-0.32,Significantly Worse (<-.10),0.0288,Slightly Better (>.02)
3.0,Same_Activity,No Precip,No Precip,No Precip,2.33,3.63,11.5,6.2,6.36,-0.16,Significantly Worse (<-.10),-0.3104,Significantly Worse (<-.10)
-1.0,Same_Activity,No Precip,No Precip,No Precip,6.92,4.63,13.38,6.555,6.2,0.355,Significantly Better (>.10),-0.32,Significantly Worse (<-.10)
