delivery_count_sum,is_above_average_delivery_day,log_ratio_to_average,delivery_date,delivery_weekday_name,is_midweek,DailyPrecipitation,DailySnowDepth,SnowOnGround,DailySnowfall,PriorDayAverageDryBulbTemperatureDiff,PriorDayMaximumTemperatureDiff,PriorDayMinimumTemperatureDiff,PriorDayPrecipitationAmt,Prior2DayPrecipitationAmt,PriorDayPrecipitationDiff,Prior2DayPrecipitationDiff,PriorDaySnowfallAmt,PriorDaySnowfallDiff,Precip_12AM-6AM,Precip_6AM-10AM,Precip_6AM-12PM,Precip_10AM-2PM
2,False,0.0,2021-01-07,Thu,True,0.0,8,true,0.0,-6,-8,-3,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
2,False,0.0,2020-01-10,Fri,False,0.0,3,true,0.0,-11,-12,-9,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
1,False,0.0,2011-01-13,Thu,True,0.08,10,true,1.9,-4,-5,-2,0.0,0.1,0.08,-0.020000000000000004,0.0,1.9,No Precip,No Precip,Light Precip,Precip
1,False,0.0,2011-01-24,Mon,False,0.01,12,true,0.1,16,14,19,0.0,0.0,0.01,0.01,0.0,0.1,No Precip,No Precip,No Precip,Light Precip
2,False,0.0,2018-01-31,Wed,True,0.13,5,true,2.1,4,2,6,0.0,0.0,0.13,0.13,0.0,2.1,Precip,No Precip,No Precip,No Precip
1,False,0.0,2013-02-06,Wed,True,0.04,5,true,0.7,-5,-4,-5,0.05,0.06,-0.010000000000000002,-0.019999999999999997,1.2,-0.5,No Precip,No Precip,Light Precip,Light Precip
2,False,0.0,2017-02-09,Thu,True,0.0,0,false,0.0,4,7,2,0.0,0.01,0.0,-0.01,0.0,0.0,No Precip,No Precip,No Precip,No Precip
1,False,0.0,2020-02-13,Thu,True,0.0,9,true,0.0,-23,-34,-11,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
12,False,0.0,2016-02-25,Thu,True,0.0,0,false,0.0,-3,-3,-4,0.0,0.04,0.0,-0.04,0.0,0.0,No Precip,No Precip,No Precip,No Precip
5,False,-0.9030899869919435,2013-02-26,Tue,True,0.0,6,true,0.0,-3,-1,-6,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
75,True,0.27300127206373764,2016-02-26,Fri,False,0.0,0,false,0.0,2,7,-2,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
14,False,-0.04884856753781697,2012-02-27,Mon,False,0.0,0,false,0.0,-7,-9,-4,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
12,False,-0.1157953571684302,2013-02-27,Wed,True,0.0,6,true,0.0,7,2,12,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
21,True,0.12724269151786424,2017-02-27,Mon,False,0.0,0,false,0.0,1,4,-1,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
12,False,-0.28254658996996806,2012-02-28,Tue,True,0.7,0,false,0.6,3,3,2,0.0,0.0,0.7,0.7,0.0,0.6,No Precip,Light Precip,Light Precip,Light Precip
9,False,-0.40748532657826797,2013-02-28,Thu,True,0.0,6,true,0.0,-6,-7,-4,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
48,True,0.31951340135799433,2017-02-28,Tue,True,0.0,0,false,0.0,7,3,10,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
2,False,-1.3117538610557542,2012-02-29,Wed,True,0.65,1,true,2.2,4,1,7,0.7,0.0,-0.04999999999999993,0.65,0.6,1.6,Precip,Light Precip,Light Precip,No Precip
80,True,0.2903061302722081,2016-02-29,Mon,False,0.0,0,false,0.0,-7,-4,-9,0.03,0.0,-0.03,0.0,0.1,-0.1,No Precip,No Precip,No Precip,No Precip
17,False,-0.32100107659460125,2012-03-01,Thu,True,0.09,2,true,0.8,0,2,-2,0.65,0.7,-0.56,-0.61,2.2,-1.4000000000000001,No Precip,No Precip,No Precip,No Precip
15,False,-0.37535873891719396,2013-03-01,Fri,False,0.0,6,true,0.0,-3,0,-6,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
90,True,0.4027925114664497,2016-03-01,Tue,True,0.0,0,false,0.0,-8,-12,-5,0.0,0.03,0.0,-0.03,0.0,0.0,No Precip,No Precip,No Precip,No Precip
49,True,0.13874608205563846,2017-03-01,Wed,True,0.04,1,true,0.8,-10,-10,-9,0.0,0.0,0.04,0.04,0.0,0.8,Light Precip,No Precip,No Precip,No Precip
7,False,-0.7063519579586184,2021-03-01,Mon,False,0.04,6,true,0.7,-9,-12,-7,0.14,0.0,-0.1,0.04,1.5,-0.8,Light Precip,No Precip,No Precip,No Precip
17,False,-0.398960677724445,2011-03-02,Wed,True,0.0,10,true,0.0,-16,-24,-8,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
13,False,-0.5154662467958822,2012-03-02,Fri,False,0.0,2,true,0.0,-1,-1,-1,0.09,0.65,-0.09,-0.65,0.8,-0.8,No Precip,No Precip,No Precip,No Precip
86,True,0.30508885214084874,2016-03-02,Wed,True,0.0,0,false,0.0,2,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
80,True,0.27368038788922466,2017-03-02,Thu,True,0.0,0,false,0.0,-6,-6,-6,0.04,0.0,-0.04,0.0,0.8,-0.8,No Precip,No Precip,No Precip,No Precip
17,False,-0.398960677724445,2021-03-02,Tue,True,0.0,5,true,0.0,12,21,4,0.04,0.14,-0.04,-0.14,0.7,-0.7,No Precip,No Precip,No Precip,No Precip
22,False,-0.4405274524432061,2011-03-03,Thu,True,0.01,9,true,0.1,16,15,17,0.0,0.0,0.01,0.01,0.0,0.1,No Precip,No Precip,No Precip,No Precip
73,True,0.08037272685504353,2016-03-03,Thu,True,0.0,0,false,0.0,8,3,13,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
87,True,0.15656911935320617,2017-03-03,Fri,False,0.01,0,false,0.2,-2,0,-4,0.0,0.04,0.01,-0.03,0.0,0.2,No Precip,No Precip,No Precip,No Precip
3,False,-0.8553172051959429,2011-03-04,Fri,False,0.0,9,true,0.0,4,-2,9,0.01,0.0,-0.01,0.0,0.1,-0.1,No Precip,No Precip,No Precip,No Precip
2,False,-1.0314084642516241,2013-03-04,Mon,False,0.34,5,true,3.9,1,-3,5,0.0,0.0,0.34,0.34,0.0,3.9,No Precip,Light Precip,Light Precip,Light Precip
64,True,0.47374151406828185,2016-03-04,Fri,False,0.05,0,false,0.4,2,2,3,0.0,0.0,0.05,0.05,0.0,0.4,No Precip,No Precip,No Precip,Light Precip
17,False,-0.10198953853733142,2021-03-04,Thu,True,0.0,1,true,0.0,0,-4,3,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
15,True,0.09691001300805642,2012-03-05,Mon,False,0.0,2,true,0.0,7,6,8,0.0,0.02,0.0,-0.02,0.0,0.0,No Precip,No Precip,No Precip,No Precip
1,False,-1.0791812460476249,2018-03-05,Mon,False,0.34,1,true,3.6,-5,-4,-5,0.07,0.0,0.27,0.34,0.0,3.6,Light Precip,No Precip,No Precip,No Precip
20,True,0.2218487496163564,2021-03-05,Fri,False,0.0,0,false,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
20,False,-0.3037358890399061,2012-03-06,Tue,True,0.0,2,true,0.0,19,25,13,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
3,False,-1.1276446299842249,2013-03-06,Wed,True,0.0,13,true,0.0,-3,-1,-5,0.41,0.34,-0.41,-0.34,5.4,-5.4,No Precip,No Precip,No Precip,No Precip
137,True,0.5319546824525194,2017-03-06,Mon,False,0.09,0,false,0.0,5,6,4,0.0,0.0,0.09,0.09,0.0,0.0,No Precip,No Precip,No Precip,No Precip
1,False,-1.6047658847038873,2020-03-06,Fri,False,0.0,0,false,0.0,-6,-5,-7,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
16,False,-0.5574320059082571,2012-03-07,Wed,True,0.04,0,false,0.0,-5,-6,-3,0.0,0.0,0.04,0.04,0.0,0.0,No Precip,No Precip,Light Precip,Light Precip
22,False,-0.4191293077419757,2013-03-07,Thu,True,0.0,11,true,0.0,-2,2,-6,0.0,0.41,0.0,-0.41,0.0,0.0,No Precip,No Precip,No Precip,No Precip
69,True,0.07729710217307338,2016-03-07,Mon,False,0.0,0,false,0.0,8,4,13,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
124,True,0.33186969659805315,2017-03-07,Tue,True,0.0,0,false,0.0,-13,-16,-10,0.09,0.0,-0.09,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
16,False,-0.4490925311194189,2012-03-08,Thu,True,0.01,0,false,0.2,-11,-17,-5,0.04,0.0,-0.03,0.01,0.0,0.2,No Precip,Light Precip,Light Precip,No Precip
20,False,-0.35218251811136253,2013-03-08,Fri,False,0.0,11,true,0.0,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
54,True,0.07918124604762482,2016-03-08,Tue,True,0.0,0,false,0.0,2,6,-2,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
109,True,0.3842139841652799,2017-03-08,Wed,True,0.0,0,false,0.0,-9,-13,-5,0.0,0.09,0.0,-0.09,0.0,0.0,No Precip,No Precip,No Precip,No Precip
26,False,-0.23823916580452575,2021-03-08,Mon,False,0.0,0,false,0.0,-2,-4,0,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
1,False,-1.631443769013172,2011-03-09,Wed,True,0.09,10,true,1.0,0,-3,3,0.0,0.03,0.09,0.06,0.0,1.0,Light Precip,Light Precip,Light Precip,Light Precip
12,False,-0.5522625229655471,2012-03-09,Fri,False,0.0,0,false,0.0,-4,-3,-6,0.01,0.04,-0.01,-0.04,0.2,-0.2,No Precip,No Precip,No Precip,No Precip
58,True,0.13198422454976527,2016-03-09,Wed,True,0.0,0,false,0.0,-16,-28,-5,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
122,True,0.4549160616615762,2017-03-09,Thu,True,0.0,0,false,0.0,-5,-5,-6,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
21,False,-0.3092244742792527,2021-03-09,Tue,True,0.0,0,false,0.0,7,4,9,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
2,False,-1.359835482339888,2011-03-10,Thu,True,0.0,9,true,0.0,-5,-3,-8,0.09,0.0,-0.09,0.0,1.0,-1.0,No Precip,No Precip,No Precip,No Precip
54,True,0.07152828181909934,2016-03-10,Thu,True,0.0,0,false,0.0,2,7,-2,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
150,True,0.515225781051812,2017-03-10,Fri,False,0.0,0,false,0.0,-13,-12,-13,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
2,False,-1.359835482339888,2020-03-10,Tue,True,0.04,0,false,0.3,-6,-6,-7,0.0,0.0,0.04,0.04,0.0,0.3,No Precip,No Precip,No Precip,No Precip
21,False,-0.3386461832699499,2021-03-10,Wed,True,0.69,0,false,0.0,-9,-12,-5,0.0,0.0,0.69,0.69,0.0,0.0,No Precip,Precip,Precip,Precip
27,False,-0.11270428019128831,2013-03-11,Mon,False,0.0,6,true,0.0,-7,-5,-8,0.01,0.61,-0.01,-0.61,0.0,0.0,No Precip,No Precip,No Precip,No Precip
51,True,0.1635021317476607,2016-03-11,Fri,False,0.0,0,false,0.0,6,17,-5,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
27,False,-0.11270428019128831,2021-03-11,Thu,True,0.0,0,false,0.0,-2,-2,-3,0.69,0.0,-0.69,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
6,False,-0.5772364076029303,2012-03-12,Mon,False,0.28,0,false,0.0,-8,-14,-3,0.02,0.0,0.26,0.28,0.0,0.0,Light Precip,Light Precip,Light Precip,No Precip
35,True,0.1886803863637017,2013-03-12,Tue,True,0.0,6,true,0.0,-2,-2,-3,0.0,0.01,0.0,-0.01,0.0,0.0,No Precip,No Precip,No Precip,No Precip
27,True,0.07597610617241343,2021-03-12,Fri,False,0.0,0,false,0.0,-5,-3,-7,0.0,0.69,0.0,-0.69,0.0,0.0,No Precip,No Precip,No Precip,No Precip
8,False,-0.6154239528859439,2012-03-13,Tue,True,0.0,0,false,0.0,3,15,-9,0.28,0.02,-0.28,-0.02,0.0,0.0,No Precip,No Precip,No Precip,No Precip
32,False,-0.01336396155798149,2013-03-13,Wed,True,0.0,6,true,0.0,-1,4,-6,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
59,True,0.2523380717642567,2017-03-13,Mon,False,0.01,3,true,0.3,3,4,1,0.24,0.0,-0.22999999999999998,0.01,3.4,-3.1,No Precip,No Precip,No Precip,No Precip
6,False,-0.8532925186295284,2011-03-14,Mon,False,0.0,6,true,0.0,3,8,-1,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
9,False,-0.6772012595738471,2012-03-14,Wed,True,0.0,0,false,0.0,10,6,14,0.0,0.28,0.0,-0.28,0.0,0.0,No Precip,No Precip,No Precip,No Precip
22,False,-0.2890210881909657,2013-03-14,Thu,True,0.06,6,true,0.6,8,7,10,0.0,0.0,0.06,0.06,0.0,0.6,Light Precip,Light Precip,Light Precip,No Precip
36,False,-0.07514126824588471,2016-03-14,Mon,False,0.01,0,false,0.0,2,4,1,0.0,0.0,0.01,0.01,0.0,0.0,Light Precip,No Precip,No Precip,No Precip
141,True,0.5177753436422079,2017-03-14,Tue,True,0.0,3,true,0.0,-2,2,-5,0.01,0.24,-0.01,-0.24,0.3,-0.3,No Precip,No Precip,No Precip,No Precip
12,False,-0.5228787452803376,2011-03-15,Tue,True,0.04,6,true,0.0,11,6,16,0.0,0.0,0.04,0.04,0.0,0.0,No Precip,No Precip,No Precip,Light Precip
9,False,-0.6478174818886375,2012-03-15,Thu,True,0.0,0,false,0.0,-8,-10,-6,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
4,False,-1.0,2013-03-15,Fri,False,0.19,5,true,0.8,-2,-5,0,0.06,0.0,0.13,0.19,0.6,0.20000000000000007,Light Precip,Precip,Light Precip,Light Precip
39,False,-0.010995384301463193,2016-03-15,Tue,True,0.85,0,false,0.0,-3,-3,-3,0.01,0.0,0.84,0.85,0.0,0.0,No Precip,Precip,Light Precip,No Precip
170,True,0.6283889300503115,2017-03-15,Wed,True,0.0,2,true,0.0,3,3,3,0.0,0.01,0.0,-0.01,0.0,0.0,No Precip,No Precip,No Precip,No Precip
6,False,-0.8239087409443188,2021-03-15,Mon,False,0.31,0,false,2.9,-9,-12,-6,0.0,0.0,0.31,0.31,0.0,2.9,No Precip,No Precip,No Precip,Precip
13,False,-0.6135979047217196,2011-03-16,Wed,True,0.0,5,true,0.0,4,8,-1,0.04,0.0,-0.04,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
9,False,-0.7732987475892316,2012-03-16,Fri,False,0.0,0,false,0.0,8,16,0,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
56,True,0.020646769977644048,2016-03-16,Wed,True,0.05,0,false,0.0,-5,-6,-5,0.85,0.01,-0.7999999999999999,0.04,0.0,0.0,Light Precip,No Precip,No Precip,No Precip
185,True,0.5396304713744574,2017-03-16,Thu,True,0.0,2,true,0.0,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
4,False,-1.125481265700594,2021-03-16,Tue,True,0.01,3,true,0.0,0,-1,1,0.31,0.0,-0.3,0.01,2.9,-2.9,No Precip,No Precip,No Precip,No Precip
3,False,-1.25927524755698,2011-03-17,Thu,True,0.0,1,true,0.0,5,1,9,0.0,0.04,0.0,-0.04,0.0,0.0,No Precip,No Precip,No Precip,No Precip
68,True,0.0961124104295939,2016-03-17,Thu,True,0.01,0,false,0.0,-8,-7,-8,0.05,0.85,-0.04,-0.84,0.0,0.0,No Precip,No Precip,No Precip,No Precip
140,True,0.4097315334015956,2017-03-17,Fri,False,0.0,0,false,0.0,6,3,9,0.0,0.0,0.0,0.0,0.0,0.0,No Precip,No Precip,No Precip,No Precip
7,False,-0.8912984622623856,2021-03-17,Wed,True,0.01,3,true,0.4,6,8,3,0.01,0.31,0.0,-0.3,0.0,0.4,Light Precip,No Precip,No Precip,No Precip
84,True,0.20000341646109263,2016-03-18,Fri,False,0.0,0,false,0.0,-3,-5,-2,0.01,0.05,-0.01,-0.05,0.0,0.0,No Precip,No Precip,No Precip,No Precip
22,False,-0.38185318877858276,2021-03-18,Thu,True,0.0,0,false,0.0,4,10,-1,0.01,0.01,-0.01,-0.01,0.4,-0.4,No Precip,No Precip,No Precip,No Precip
5,False,-0.3010299956639812,2012-03-19,Mon,False,0.58,0,false,0.0,0,0,0,0.0,0.0,0.58,0.58,0.0,0.0,No Precip,No Precip,No Precip,No Precip
5,False,-0.3010299956639812,2013-03-19,Tue,True,0.0,8,true,0.0,-6,-7,-4,0.23,0.0,-0.23,0.0,3.1,-3.1,No Precip,No Precip,No Precip,No Precip
20,True,0.3010299956639812,2021-03-19,Fri,False,0.0,0,false,0.0,-1,-2,-1,0.0,0.01,0.0,-0.01,0.0,0.0,No Precip,No Precip,No Precip,No Precip
