commodity_code,delivery_commodity_count,Diff_from_average_amt,delivery_commodity_count_avg,Diff_from_average_category,open_price,close_price,max_price,min_price,prior_day_open_price,prior_2_day_open_price,prior_3_day_open_price,recent_avg_price,recent_avg_price_diff,recent_avg_trend,prior_day_open_diff,prior_day_trend,prior_2_day_open_diff,prior_2_day_trend,prior_3_day_open_diff,prior_3_day_trend,yesterday_avg_diff,yesterday_avg_trend
08,2,0.0,2.0,Average,13.68,13.605,13.68,13.47,13.598,13.193,13.24,13.343,0.3367,Significantly Better (>.10),0.0825,Better (>.05),0.4875,Significantly Better (>.10),0.44,Significantly Better (>.10),0.3813,Significantly Better (>.10)
08,1,0.0,1.0,Average,9.315,9.35,9.355,9.275,9.4325,9.3625,9.335,9.3767,-0.0617,Worse (<-.05),-0.1175,Significantly Worse (<-.10),-0.0475,Slightly Worse (<-.02),-0.02,Slightly Worse (<-.02),0.0838,Better (>.05)
08,2,0.0,2.0,Average,10.0,9.9575,10.02,9.89,9.945,9.9225,9.9158,9.9278,0.0722,Better (>.05),0.055,Better (>.05),0.0775,Better (>.05),0.0842,Better (>.05),0.0258,Slightly Better (>.02)
08,1,0.0,1.0,Average,14.95,14.875,14.95,14.77,14.88,14.838,14.792,14.836,0.1136,Significantly Better (>.10),0.07,Better (>.05),0.1125,Significantly Better (>.10),0.1583,Significantly Better (>.10),0.0654,Better (>.05)
08,1,0.0,1.0,Average,8.91,8.9625,8.9975,8.885,8.855,8.8575,8.83,8.8475,0.0625,Better (>.05),0.055,Better (>.05),0.0525,Better (>.05),0.08,Better (>.05),0.0113,Nominal Change
08,3,-8.5,11.5,Average,14.5,14.478,14.59,14.363,14.613,14.698,14.784,14.698,-0.1983,Significantly Worse (<-.10),-0.1125,Significantly Worse (<-.10),-0.1983,Significantly Worse (<-.10),-0.2842,Significantly Worse (<-.10),-0.1288,Significantly Worse (<-.10)
08,20,8.5,11.5,Average,8.6,8.55,8.625,8.545,8.67,8.6925,8.8,8.7208,-0.1208,Significantly Worse (<-.10),-0.07,Worse (<-.05),-0.0925,Worse (<-.05),-0.2,Worse (<-.05),-0.0763,Worse (<-.05)
08,4,0.5,3.5,Average,12.915,12.938,12.95,12.765,12.877,12.838,12.8,12.838,0.0767,Better (>.05),0.0383,Slightly Better (>.02),0.0767,Better (>.05),0.115,Better (>.05),0.0575,Better (>.05)
08,3,-0.5,3.5,Average,10.155,10.11,10.185,10.06,10.144,10.133,10.123,10.133,0.0217,Slightly Better (>.02),0.0108,Nominal Change,0.0217,Slightly Better (>.02),0.0325,Slightly Better (>.02),0.0163,Nominal Change
08,3,-6.5,9.5,Average,13.01,13.053,13.07,12.915,12.915,12.877,12.838,12.877,0.1333,Significantly Better (>.10),0.095,Better (>.05),0.1333,Significantly Better (>.10),0.1717,Significantly Better (>.10),0.0575,Better (>.05)
08,16,6.5,9.5,Average,10.13,10.25,10.45,10.125,10.155,10.144,10.133,10.144,-0.0142,Nominal Change,-0.025,Slightly Worse (<-.02),-0.0142,Nominal Change,-0.0033,Nominal Change,0.0163,Nominal Change
08,16,0.0,16.0,Average,8.54,8.53,8.57,8.52,8.56,8.58,8.6,8.58,-0.04,Slightly Worse (<-.02),-0.02,Nominal Change,-0.04,Slightly Worse (<-.02),-0.06,Slightly Worse (<-.02),-0.03,Slightly Worse (<-.02)
